rowid,kepid,is_exoplanet,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
3903,11611275,1,6.94245216,135.95819,0.485,3.491,160.8,1.34,1003,239.39,14.7,1,q1_q17_dr25_tce,6108,4.466,1.03,292.15866,49.63776,15.158
3905,12734396,0,200.721168,280.0733,0.234,9.91,822.5,3.32,327,2.72,13.1,1,q1_q17_dr25_tce,5566,4.275,1.17,288.90952,51.930561,15.511
3906,11612280,1,9.4061364,137.7073,0.397,4.882,79.5,1.14,981,219.36,13.2,1,q1_q17_dr25_tce,5855,4.24,1.268,292.67773,49.66391,14.09
3907,5536715,0,0.935086665,131.52593,0.4742,1.12,71.2,1.18,2431,8250.8,13.1,,,6762,4.282,1.348,292.77893,40.795631,13.993
3908,8149484,0,1.489457454,131.99809,0.171,3.028,56.3,1.58,2415,8026.6,29.7,1,q1_q17_dr25_tce,6316,3.908,2.087,284.69278,44.010208,13.09
3909,12407623,0,1.181165291,132.42522,0.632,1.013,370.4,1.52,1398,905.88,14.1,1,q1_q17_dr25_tce,5203,4.582,0.747,291.34879,51.256119,15.971
3910,11444514,1,66.373298,174.01595,0.021,8.559,415,1.99,471,11.59,13.7,1,q1_q17_dr25_tce,6143,4.47,0.976,285.5575,49.33007,15.37
3911,9886361,1,13.61165024,144.16808,0.112,7.617,95.5,1.46,958,198.73,31.6,2,q1_q17_dr25_tce,6170,4.192,1.499,289.92145,46.74456,12.805
3914,6778008,0,0.945829261,132.09286,0.326,1.715,98.2,0.86,1790,2433.01,15.1,1,q1_q17_dr25_tce,5959,4.546,0.859,292.01379,42.28875,15.263
3915,8308260,0,0.973160836,132.25412,0.034,0.864,138.3,1.22,1932,3303.84,9.8,1,q1_q17_dr25_tce,6108,4.466,1.03,294.86813,44.283199,15.238
