"rowid","kepid","kepoi_name","koi_period","koi_time0bk","koi_impact","koi_duration","koi_depth","koi_prad","koi_teq","koi_insol","koi_model_snr","koi_steff","koi_slogg","koi_srad","predict","CONFIRMED","FALSE POSITIVE"
2198,4172013,"K02386.01",16.2707207,145.09699999999998,1.187,5.707000000000001,468.0,28.42,827,110.79,13.0,6117,4.315,1.244,"FALSE POSITIVE",0.3363829241152395,0.6636170758847605
2204,5042210,"K02462.01",12.14684625,131.55623,0.687,6.197,70.7,1.75,1097,342.49,27.1,5877,3.927,1.963,"CONFIRMED",0.8365580689503636,0.16344193104963647
2206,1996180,"K02534.02",5.42204257,133.46021,0.9400000000000001,2.9520000000000004,79.10000000000001,1.3900000000000001,1222,527.11,10.700000000000001,6123,4.263,1.2630000000000001,"FALSE POSITIVE",0.3636058759831631,0.6363941240168369
2207,9635606,"K02535.01",48.8882668,153.8341,0.9880000000000001,6.468000000000001,462.8,2.96,386,5.23,13.5,4821,4.529,0.788,"FALSE POSITIVE",0.15601006378745041,0.8439899362125496
2210,1849702,"K02538.01",39.8312536,155.6409,0.24000000000000002,2.442,388.8,1.46,420,7.33,15.8,5026,4.58,0.759,"CONFIRMED",0.7647253496975868,0.23527465030241324
2212,2305866,"K02610.01",24.1073172,145.9415,0.6930000000000001,10.465000000000002,104.2,2.74,1065,304.22,23.6,6585,3.813,2.517,"CONFIRMED",0.589224996284597,0.410775003715403
2213,11187837,"K00252.01",17.60461401,170.4984,0.7150000000000001,3.716,2292.1,2.64,362,4.07,80.10000000000001,3744,4.737,0.516,"CONFIRMED",0.9243121279836808,0.07568787201631919
2215,9712350,"K02613.01",51.573865299999994,158.06744,0.275,2.7840000000000003,900.7,2.41,417,7.12,13.200000000000001,5380,4.581,0.8130000000000001,"CONFIRMED",0.6591315337349191,0.340868466265081
2231,6183511,"K02542.01",0.7273317460000001,132.37007,0.153,0.8323,357.40000000000003,0.67,849,122.92,20.400000000000002,3460,4.92,0.356,"CONFIRMED",0.7423163760012728,0.25768362399872724
2232,12469800,"K02543.01",1.302017467,131.93696,0.28600000000000003,1.3692000000000002,290.5,1.37,1344,772.73,21.400000000000002,4948,4.508,0.8160000000000001,"CONFIRMED",0.5166067777022083,0.48339322229779164
2236,11465950,"K02620.01",16.0573291,132.39054,0.883,3.5460000000000003,575.0,2.27,645,41.04,17.5,5644,4.575,0.806,"CONFIRMED",0.7570453543464841,0.24295464565351582
2238,4665571,"K02393.01",4.60300256,133.22313,0.07200000000000001,2.6848,302.5,1.32,848,122.02,22.200000000000003,4821,4.529,0.788,"CONFIRMED",0.8903499636675906,0.10965003633240943
2241,6199056,"K02398.01",1.169010526,131.738567,1.1300000000000001,1.1717000000000002,165.9,91.91,3766,47688.8,37.1,5944,3.25,5.847,"FALSE POSITIVE",0.013410739444689512,0.9865892605553105
