"rowid","kepid","kepoi_name","koi_period","koi_time0bk","koi_impact","koi_duration","koi_depth","koi_prad","koi_teq","koi_insol","koi_model_snr","koi_steff","koi_slogg","koi_srad","predict","CONFIRMED","FALSE POSITIVE"
6910,6368175,"K03503.02",31.824530399999997,144.5289,0.681,4.17,79.0,0.8,589,28.37,7.7,6338,4.545,0.847,"FALSE POSITIVE",0.17942182268947363,0.8205781773105264
6911,5471158,"K03504.02",140.24408749,217.2997957,,5.430000000000001,,,,,,,,,"FALSE POSITIVE",0.004542243423871696,0.9954577565761283
6913,9947653,"K04647.02",12.008552,141.7017,0.901,4.613,76.60000000000001,2.08,1016,251.93,11.8,5303,3.87,1.964,"FALSE POSITIVE",0.47853168591856954,0.5214683140814305
6914,6527078,"K04657.02",10.4314847,135.54228999999998,0.9500000000000001,2.0900000000000003,59.1,0.77,700,56.67,9.600000000000001,5361,4.588,0.774,"FALSE POSITIVE",0.29768266078829764,0.7023173392117024
6915,12416597,"K04895.02",47.5571352,135.84969999999998,0.6234000000000001,1.7080000000000002,339.0,1.85,507,15.58,6.7,5861,4.436,0.9580000000000001,"FALSE POSITIVE",0.12506327057629824,0.8749367294237018
6918,2019477,"K06093.02",27.2497521,131.8837,0.194,11.609,102.0,4.49,1090,333.56,14.600000000000001,5440,3.404,4.524,"FALSE POSITIVE",0.40583449614048006,0.5941655038595199
6922,8158127,"K01015.03",16.9972894,143.87301,0.8250000000000001,2.585,225.0,3.14,956,197.18,11.100000000000001,5897,3.98,1.86,"CONFIRMED",0.6555169306099414,0.34448306939005857
6933,4472818,"K03878.02",15.3573445,132.60165999999998,0.9660000000000001,1.6340000000000001,117.10000000000001,1.42,729,66.65,9.600000000000001,5818,4.464,0.986,"FALSE POSITIVE",0.41969734100252387,0.5803026589974761
6938,8934103,"K04009.02",77.792718,190.14759999999998,0.5760000000000001,6.08,287.90000000000003,2.17,453,10.0,9.1,5497,4.243,1.241,"FALSE POSITIVE",0.4076114744246006,0.5923885255753993
6942,10718726,"K00600.02",294.05526299999997,421.853,0.061700000000000005,14.32,770.0,2.8000000000000003,288,1.6400000000000001,21.1,6108,4.453,1.0110000000000001,"FALSE POSITIVE",0.14002957582846284,0.8599704241715371
6953,5956656,"K01053.02",46.245163999999995,136.47890999999998,0.392,5.663,492.1,2.46,519,17.150000000000002,15.5,5553,4.32,1.107,"CONFIRMED",0.9323417949080467,0.0676582050919533
6954,9093086,"K06191.01",9.704337899999999,138.1975,0.07,3.515,129.0,1.19,932,178.46,8.6,6273,4.442,1.044,"FALSE POSITIVE",0.22696100278943776,0.7730389972105622
6955,9015738,"K01616.02",34.775371,162.2065,0.4758,2.93,38.800000000000004,0.67,582,27.11,5.7,6028,4.4590000000000005,1.047,"FALSE POSITIVE",0.0894024200513959,0.9105975799486041
6956,9093086,"K06191.02",12.771382599999999,141.3553,0.374,3.347,141.8,1.26,851,123.93,8.0,6273,4.442,1.044,"FALSE POSITIVE",0.20846970074623822,0.7915302992537618
6965,3747817,"K04103.02",14.237841699999999,140.4771,0.314,4.86,193.0,1.1,629,37.02,10.5,5273,4.566,0.801,"FALSE POSITIVE",0.29146484766155484,0.7085351523384451
6967,8162789,"K00521.02",10.8206034,140.5078,0.5920000000000001,2.8480000000000003,116.7,1.19,885,145.06,7.300000000000001,6032,4.3870000000000005,1.06,"FALSE POSITIVE",0.2785239715948701,0.7214760284051299
